Name,Review_Counts,Stars_Number
L’Amour Vache,34,4.5
Café Varenne,97,4.5
Baltard au Louvre,7,4.0
Restaurant Sichuan,2,5.0
Juste,29,4.5
La Rôtisserie d’Argent,74,4.0
Mamma Primi,33,4.0
Café de l’Homme,101,3.5
Nelson’s,20,4.0
Le Colimaçon,139,4.5
L’Entente,16,4.0
Kunitoraya - Bistro Udon,172,4.0
Fermier Gourmet,32,4.5
Cocorico,43,4.5
Jaïs,4,4.5
Firmine,439,4.0
Chez Papa Jazz Club,46,4.5
Sept Cinq,7,4.5
Le Comptoir Colonial,2,5.0
Table,12,4.5
Le Coupe Gorge,36,4.5
Les Deux Magots,370,3.5
Belhara,12,4.5
La Cave du Septime,20,4.5
Marcelle,12,4.0
La Reine de Saba,41,4.5
